symbol,timestamp,spot_price,hawkes_score,kalman_velocity,particle_mean,regime_state,ensemble_prediction,meta_learning_weight,fusion_mean,p_up,p_down,expected_return,kelly_fraction,signal,signal_confidence,actual_return,correct,institutional_forecast,institutional_confidence,positioning_strength,bullish_score,bearish_score,neutral_score,pcr_val,gamma_pressure,dealer_pressure,rsi,adx,atr,volume_ratio,pcr,meta_learning_prediction
NIFTY,2026-07-24 08:45:00,23778.85,1.0,-42.79652818330669,23789.06059326418,TRENDING_BEAR,-0.0043084053322672,0.2,-0.0053841424683933,0.2690200751331275,0.3332867391719077,-0.0053841424683933,0.25,NEUTRAL,0.3976931856949647,,,0.0,0.0,0.0,0.0,0.0,100.0,1.0216212667364146,0.0,0.0,33.376783754115735,69.24615121038029,82.39642857142904,0.0,1.0216212667364146,-0.0092208685353398
NIFTY,2026-07-24 00:00:00,23779.75,1.0,-77.80859217195895,23844.222421789786,TRENDING_BEAR,0.0074693509377539,0.2,-0.0140186434284295,0.269515836477517,0.376151267564631,-0.0140186434284295,0.2145932533666489,NEUTRAL,0.354332895957852,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9316335378457568,0.0,0.0,32.73812682409107,16.39947171316333,241.7964285714284,0.0,0.9316335378457568,-0.0002444450045004
NIFTY,2026-07-24 08:50:00,23779.65,1.0,-10.560239122120738,23784.523568208213,TRENDING_BULL,-0.0089095653966069,0.25,-0.0001570359802814,0.2689419907151931,0.2689764668077502,-0.0001570359802814,0.0,NEUTRAL,0.4620815424770567,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9970633892017589,0.0,0.0,48.67591424968135,22.30643623760397,20.285714285714544,0.0,0.9970633892017589,-0.0156318482011556
NIFTY,2026-07-24 00:00:00,23779.75,1.0,-77.80859217195895,23873.276540268027,TRENDING_BEAR,0.0074693509377539,0.2,-0.0147954402709531,0.2703863910879164,0.374361942767008,-0.0147954402709531,0.21162001103365,NEUTRAL,0.3552516661450755,,,0.0016666666666666,0.3333333333333333,33.33333333333333,33.33333333333333,0.0,66.66666666666667,0.9316335378457568,0.0,0.0,32.73812682409107,16.39947171316333,241.7964285714284,0.0,0.9316335378457568,-0.0002444450045004
NIFTY,2026-07-24 08:50:00,23779.65,1.0,-10.560239122120738,23785.225972780787,TRENDING_BULL,-0.0089095653966069,0.25,-0.0003650129741502,0.268941973000515,0.2689753763567867,-0.0003650129741502,0.0545821056276518,NEUTRAL,0.4620826506426984,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9970633892017589,0.0,0.0,48.67591424968135,22.30643623760397,20.285714285714544,0.0,0.9970633892017589,-0.0156318482011556
NIFTY,2026-07-24 08:45:00,23777.25,1.0,-29.518943118268773,23789.812038591343,TRENDING_BEAR,-0.0086044492200016,0.2,-0.0013331028315883,0.2689414302557893,0.2689610574645678,-0.0013331028315883,0.1283280718122366,NEUTRAL,0.4620975122796429,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9991675023177494,0.0,0.0,73.30944219382579,39.99245923175664,40.567857142857456,0.0,0.9991675023177494,-0.0145052131265401
NIFTY,2026-07-24 08:50:00,23779.65,1.0,-10.560239122120738,23785.03112499741,TRENDING_BULL,-0.0089095653966069,0.25,-0.0005418302443201,0.2689418976920248,0.2689707406715542,-0.0005418302443201,0.0587671711581286,NEUTRAL,0.462087361636421,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9970633892017589,0.0,0.0,48.67591424968135,22.30643623760397,20.285714285714544,0.0,0.9970633892017589,-0.0156318482011556
NIFTY,2026-07-24 08:50:00,23783.0,1.0,-6.734935222373645,23786.064970867938,TRENDING_BULL,-0.0089095653966069,0.25,-0.0001118161302681,0.2689424005349154,0.2689611036327632,-0.0001118161302681,0.0,NEUTRAL,0.4620964958323213,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9974856057757546,0.0,0.0,49.726247987113545,22.16448310913836,20.485714285714494,0.0,0.9974856057757546,-0.0155558176338672
NIFTY,2026-07-24 08:50:00,23783.0,1.0,-6.734935222373645,23786.51399608866,TRENDING_BULL,-0.0089095653966069,0.25,-0.0005163602400984,0.2689422632694149,0.2689583443971635,-0.0005163602400984,0.0751135709273087,NEUTRAL,0.4620993923334215,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9974856057757546,0.0,0.0,49.726247987113545,22.16448310913836,20.485714285714494,0.0,0.9974856057757546,-0.0155558176338672
NIFTY,2026-07-24 08:50:00,23774.2,1.0,-16.78349472022029,23783.81583197584,TRENDING_BULL,-0.0087006511166691,0.25,-0.0002490842690605,0.2689416848386761,0.2690364191511388,-0.0002490842690605,0.0,NEUTRAL,0.462021896010185,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9963764995515262,0.0,0.0,47.0588235294084,22.05178727949656,20.650000000000155,0.0,0.9963764995515262,-0.015611907094717
